0,Delete Class ,Error : MultiProjectBenchmark Line : 72,The metaclass MultiProjectBenchmark is deleted and the class MultiProjectBenchmark is deleted also (assuming that when the metaclass is deleted all the generated elements are deleted )Coevolve this code : import org.eclipse.modisco.infra.discovery.benchmark.Discovery  import org.eclipse.modisco.infra.discovery.benchmark.MultiProjectBenchmark  import org.eclipse.modisco.java.discoverer.benchmark.emfstat.DiscoverJavaModelFromJavaProjectEMFStat  If there is any instruction to delete please comment it with significant message,import org.eclipse.modisco.infra.discovery.benchmark.Discoveryimport org.eclipse.modisco.java.discoverer.benchmark.emfstat.DiscoverJavaModelFromJavaProjectEMFStat// The metaclass MultiProjectBenchmark is deleted// The class MultiProjectBenchmark is deleted// Remaining code// ...// ...
1,Delete Class ,Error : MultiProjectBenchmark Line : 101,The metaclass MultiProjectBenchmark is deleted The class MultiProjectBenchmark is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : public MultiProjectBenchmark generate() throws CoreException IOException If there is any instruction to delete please comment it with significant message,public class MultiProjectBenchmarkGenerator {    public MultiProjectBenchmark generate() throws CoreException IOException {    // TODO: Add code to generate MultiProjectBenchmark  }    // TODO: Remove the comment below if the metaclass is deleted  // public void delete() {  //   // Delete the generated MultiProjectBenchmark class  // }}
2,Delete Class ,Error : MultiProjectBenchmark Line : 102,The metaclass MultiProjectBenchmark is deleted The class MultiProjectBenchmark is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : MultiProjectBenchmark benchmark=buildReportModelAndDiagrams()  If there is any instruction to delete please comment it with significant message, Cannot get a response because of an exception
3,Delete Class ,Error : MultiProjectBenchmark Line : 107,The metaclass MultiProjectBenchmark is deleted The class MultiProjectBenchmark is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : private MultiProjectBenchmark buildReportModelAndDiagrams() throws CoreException IOException If there is any instruction to delete please comment it with significant message,private MultiProjectBenchmark buildReportModelAndDiagrams() throws CoreException IOException {    // No instructions to delete    MultiProjectBenchmark reportModel = new MultiProjectBenchmark()        // Generate diagrams    // ...    return reportModel}
4,Delete Class ,Error : MultiProjectBenchmark Line : 112,The metaclass MultiProjectBenchmark is deleted The class MultiProjectBenchmark is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : MultiProjectBenchmark benchmark=BenchmarkFactory.eINSTANCE.createMultiProjectBenchmark()  If there is any instruction to delete please comment it with significant message,// Coevolved code:MultiProjectBenchmark benchmark = BenchmarkFactory.eINSTANCE.createMultiProjectBenchmark()// No instructions to delete
5,Delete Class ,Error : createMultiProjectBenchmark Line : 112,The metaclass MultiProjectBenchmark is deleted   the method createMultiProjectBenchmark is generated and its usage must be deleted Coevolve this code : MultiProjectBenchmark benchmark=BenchmarkFactory.eINSTANCE.createMultiProjectBenchmark()  If there is any instruction to delete please comment it with significant message,The metaclass MultiProjectBenchmark is deleted so the code to create an instance of it must be removed. Additionally any usage of the createMultiProjectBenchmark method must also be deleted.Coevolved code:// MultiProjectBenchmark benchmark=BenchmarkFactory.eINSTANCE.createMultiProjectBenchmark()// Code to create an instance of MultiProjectBenchmark is deleted// Any usage of createMultiProjectBenchmark method is deleted
6,Pull class,Error : getDiscoveries Line : 180,The attribute discoveries is pulled from a subclass to the superclass : Benchmark The method getDiscoveries is generated and must be updated Coevolve this code : benchmarkedProject.getDiscoveries().add(discovery),public class Benchmark {    private List<Discovery> discoveries        public Benchmark() {        this.discoveries = new ArrayList<>()    }        public List<Discovery> getDiscoveries() {        return discoveries    }        public void addDiscovery(Discovery discovery) {        discoveries.add(discovery)    }}public class BenchmarkedProject extends Benchmark {    // other attributes and methods specific to BenchmarkedProject}
7,Extract property,Error : setMaxUsedMemoryInBytes Line : 187,The attribute maxUsedMemoryInBytes is moved from the class Discovery to the class DiscoveryIteration through the reference iterations Considering that calling setIterations from the class Discovery returns a list of DiscoveryIterationobjects Coevolve this code : discovery.setMaxUsedMemoryInBytes(maxUsedMemory), Cannot get a response because of an exception
8,Delete property,Error : setMetaModelVariant Line : 188,The attribute metaModelVariant is deleted from the class Discovery the method setMetaModelVariant is generated and its usage must be deleted Coevolve this code : discovery.setMaxUsedMemoryInBytes(maxUsedMemory)  discovery.setMetaModelVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.MM_VARIANT))  discovery.setAlgorithmVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.ALGO_VARIANT))  If there is any instruction to delete please comment it with significant message,discovery.setMaxUsedMemoryInBytes(maxUsedMemory)discovery.setAlgorithmVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.ALGO_VARIANT))
9,Delete property,Error : setAlgorithmVariant Line : 190,The attribute algorithmVariant is deleted from the class Discovery the method setAlgorithmVariant is generated and its usage must be deleted Coevolve this code : discovery.setMetaModelVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.MM_VARIANT))  discovery.setAlgorithmVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.ALGO_VARIANT))  discovery.setSaveTimeInSeconds(new Double(getValue(lastLine2Statistics.SAVE)) / Report.MINUTE_MS_RANGE)  If there is any instruction to delete please comment it with significant message,The updated code after deleting the attribute algorithmVariant and its usage would be:discovery.setMetaModelVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.MM_VARIANT))discovery.setSaveTimeInSeconds(new Double(getValue(lastLine2Statistics.SAVE)) / Report.MINUTE_MS_RANGE)// The following line is deleted as it sets the algorithm variant which is no longer needed// discovery.setAlgorithmVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.ALGO_VARIANT))
10,Extract property,Error : setSaveTimeInSeconds Line : 192,The attribute saveTimeInSeconds is moved from the class Discovery to the class DiscoveryIteration through the reference iterations Considering that calling setIterations from the class Discovery returns a list of DiscoveryIterationobjects Coevolve this code : discovery.setSaveTimeInSeconds(new Double(getValue(lastLine2Statistics.SAVE)) / Report.MINUTE_MS_RANGE),private Double saveTimeInSeconds
